file,span_count,rule_matches_sum,rule_matches_per_span
trace-066359dfbf8860ba036de8c821b5c7d8.json,2,2,1.0
trace-06681bfac2146334eebc4bc7f7a66891.json,3,1,0.3333333333333333
trace-06b4d62ad37740aba1cce0dca5776d5f.json,2,2,1.0
trace-06dbcac778d4ee80cbee37a40145a1be.json,5,3,0.6
trace-06fb9485c6e1bfcf4a75be249b363c0f.json,2,1,0.5
trace-07b9233df6d2cc48fa678bba78e9ead9.json,4,1,0.25
trace-07eb6f9b77b5a3af0af675361dc831dc.json,3,1,0.3333333333333333
trace-09caf499d042fcc1aae1ac8ab8a0cc00.json,11,1,0.09090909090909091
trace-0a1c8bf768c727489a11aed9147edbf1.json,5,2,0.4
trace-0acf384bf8062a87b64329e00eadb50a.json,3,1,0.3333333333333333
trace-0b54bc24f5549cdf17fe155151d1ffe9.json,5,4,0.8
trace-0b9700d7a7998d2edae3b0e3520a1a66.json,2,2,1.0
trace-0b9fdcde9f1f88c739de2e9a9b2af954.json,3,1,0.3333333333333333
trace-0bd3fe73a0824719581009eec8089852.json,6,4,0.6666666666666666
trace-0bd7392e0f341a405fe38d18c90580ef.json,3,1,0.3333333333333333
trace-0bf12204890357a40c7c641086790efa.json,3,1,0.3333333333333333
trace-0c44b36418acb30d432e8110e1a70a13.json,3,1,0.3333333333333333
trace-0c84e65ed9119ec6b93e8656e5eb34d7.json,3,1,0.3333333333333333
trace-0ca9daf82e5f23533b2bb95852f38886.json,2,1,0.5
trace-0d2c8fc6741f46bcfd303c4adc2487a7.json,2,1,0.5
trace-0d6d4785dcf9e1e4ed0a69fe1c4e4b10.json,2,1,0.5
trace-0d7a8ca8eaba3d339dac34d3257008ba.json,3,1,0.3333333333333333
trace-0db3cab4ed5032aa879ed4307d2d4d6f.json,3,1,0.3333333333333333
trace-0ded299966f24fcce07dbcaf2a365540.json,5,3,0.6
trace-0f893edcee89f835c876de8e7a35e852.json,3,1,0.3333333333333333
trace-0f9b07cada4f276e55ecf3691798c5fb.json,1,1,1.0
trace-0f9cf22cc9025dad42b0b811d4a836b3.json,2,2,1.0
trace-0fc5cc35612975ca7bdda7b1e7a29a94.json,2,1,0.5
trace-0fe03149b014fbdeee067bc4f25f0c07.json,2,2,1.0
trace-0fe8bb2e7023869d205e17fd7c8e4029.json,0,0,
trace-1153c9176a8036b6bc3a89a2ab6c5228.json,5,4,0.8
trace-117bbc69a89ee84643e59f40ebe1a881.json,10,3,0.3
trace-11a6dc87bd62edb69125099af4d146de.json,1,2,2.0
trace-1397c5f3a9ce11c9c73ec81c99ca67ad.json,3,1,0.3333333333333333
trace-14221c4ab4803dbec74af926553ad7ef.json,3,1,0.3333333333333333
trace-14288ae8f6fd7ce2f8eb1c53431780e7.json,2,1,0.5
trace-152825e73789fbe9e6fb499237471549.json,314,182,0.5796178343949044
trace-1571d00eabae6c7134e51099c88db122.json,3,1,0.3333333333333333
trace-15d5306be6f45143f3c7d2bbdd3ce143.json,3,1,0.3333333333333333
trace-1603a77eb27034ab635ec5e5265b8fe6.json,3,1,0.3333333333333333
